#################################
SPE_OSOAA_GoyensRuddick2022
LUT for the Sunglint Pointing Enhancement (Goyens and Ruddick, 2022, Appl Opt)
version: 1.0
date: 20220922
author: Clémence Goyens (RBINS)
rho_u = pi*L(surface reflected)/Ed (dimensionless) at theta_v as in Goyens and Ruddick, 2022, Appl Opt, Eq. 4
vza1 and vza2 are viewing zenith angle from 20 to 80° as in Goyens and Ruddick, 2022, Appl Opt, Fig. 6
w stands for wind speed in m/s ranging from 1 to 14 m/s
D is the D factor as in Goyens and Ruddick, 2022, Appl Opt, Eq. 7
SZA is the solar zenith angle ranging from 20 to 70°
rh is relative humidity (%)
aot is aot at 900 nm
amod is aerosol model accordinf to Shettle and Fenn (1979)
Shettle & Fenn model
1 : Tropospheric
2 : Urban
3 : Maritime
4 : Coastal
#########################################
"vza1","rho_u1","ws","rho_u2","vza2","D","sza","rh","aot","amod"
20,0.0673672365591398,"5",0.0255911666666667,30,0.0417760698924731,1,80,0.5,2
20,0.066230911827957,"6",0.0291743,30,0.037056611827957,1,80,0.5,2
20,0.0642535865591398,"7",0.0317954,30,0.0324581865591398,1,80,0.5,2
20,0.0619279123655914,"8",0.0336273666666667,30,0.0283005456989247,1,80,0.5,2
20,0.0595002376344086,"9",0.0348442333333333,30,0.0246560043010753,1,80,0.5,2
20,0.0571020774193548,"10",0.0355947666666667,30,0.0215073107526882,1,80,0.5,2
20,0.0547950225806452,"11",0.0359950666666667,30,0.0187999559139785,1,80,0.5,2
20,0.0526126349462366,"12",0.0361362666666667,30,0.0164763682795699,1,80,0.5,2
20,0.0505628209677419,"13",0.0360849666666667,30,0.0144778543010753,1,80,0.5,2
20,0.048645961827957,"14",0.0358919,30,0.012754061827957,1,80,0.5,2
20,0.0240985924731183,"1",0.00144511,30,0.0226534824731183,1,90,0.05,2
20,0.0536067,"2",0.00457512666666667,30,0.0490315733333333,1,90,0.05,2
20,0.0691350215053764,"3",0.01092968,30,0.0582053415053764,1,90,0.05,2
20,0.0751886166666667,"4",0.0178813333333333,30,0.0573072833333333,1,90,0.05,2
20,0.0763525548387097,"5",0.0239012333333333,30,0.0524513215053763,1,90,0.05,2
20,0.0751287376344086,"6",0.028593,30,0.0465357376344086,1,90,0.05,2
20,0.0727866435483871,"7",0.0320417333333333,30,0.0407449102150538,1,90,0.05,2
20,0.0699714424731183,"8",0.0344689333333333,30,0.035502509139785,1,90,0.05,2
20,0.0670134,"9",0.0361010666666667,30,0.0309123333333333,1,90,0.05,2
20,0.064081585483871,"10",0.0371298,30,0.026951785483871,1,90,0.05,2
20,0.0612599161290323,"11",0.0377065666666667,30,0.0235533494623656,1,90,0.05,2
20,0.0585872661290323,"12",0.0379470666666667,30,0.0206401994623656,1,90,0.05,2
20,0.0560779483870968,"13",0.0379387666666667,30,0.0181391817204301,1,90,0.05,2
20,0.0537331935483871,"14",0.0377472333333333,30,0.0159859602150538,1,90,0.05,2
20,0.0248187349462366,"1",0.00244549666666667,30,0.0223732382795699,1,90,0.1,2
20,0.0532721489247312,"2",0.00548780666666667,30,0.0477843422580645,1,90,0.1,2
20,0.0682243946236559,"3",0.01163611,30,0.0565882846236559,1,90,0.1,2
20,0.0740305634408602,"4",0.0183547333333333,30,0.0556758301075269,1,90,0.1,2
20,0.0751179672043011,"5",0.0241695,30,0.0509484672043011,1,90,0.1,2
20,0.0739015731182796,"6",0.0286991333333333,30,0.0452024397849462,1,90,0.1,2
20,0.0716073725806452,"7",0.0320265666666667,30,0.0395808059139785,1,90,0.1,2
20,0.0688583698924731,"8",0.0343662,30,0.0344921698924731,1,90,0.1,2
20,0.0659734220430108,"9",0.0359370333333333,30,0.0300363887096774,1,90,0.1,2
